,word,root,suffixes
1813,sularım,su,lar ım
1814,sularımda,su,lar ım da
1815,meyve suyu,meyve suyu,
1816,meyve suları,meyve suyu,ları
1817,meyve suyunda,meyve suyu,nda
1818,meyve suyundan,meyve suyu,ndan
1819,meyve suyum,meyve suyu,m
1820,meyve suyumda,meyve suyu,m da
1821,meyve sularım,meyve suyu,lar ım
1822,meyve sularımda,meyve suyu,lar ım da
1823,limonata,limonata,
1824,limonatalar,limonata,lar
1825,limonatada,limonata,da
1826,limonatadan,limonata,dan
1827,limonatam,limonata,m
1828,limonatamda,limonata,m da
1829,limonatalarım,limonata,lar ım
1830,limonatalarımda,limonata,lar ım da
1831,kola,kola,
1832,kolalar,kola,lar
1833,kolada,kola,da
1834,koladan,kola,dan
1835,kolam,kola,m
1836,kolamda,kola,m da
1837,kolalarım,kola,lar ım
1838,kolalarımda,kola,lar ım da
1839,bira,bira,
1840,biralar,bira,lar
1841,birada,bira,da
1842,biradan,bira,dan
1843,biram,bira,m
1844,biramda,bira,m da
1845,biralarım,bira,lar ım
1846,biralarımda,bira,lar ım da
1847,şarap,şarap,
1848,şaraplar,şarap,lar
1849,şarapta,şarap,ta
1850,şaraptan,şarap,tan
1851,şarabım,şarap,ım
1852,şarabımda,şarap,ım da
1853,şaraplarım,şarap,lar ım
1854,şaraplarımda,şarap,lar ım da
1855,rakı,rakı,
1856,rakılar,rakı,lar
1857,rakıda,rakı,da
1858,rakıdan,rakı,dan
1859,rakım,rakı,m
1860,rakımda,rakı,m da
1861,rakılarım,rakı,lar ım
1862,rakılarımda,rakı,lar ım da
1863,viski,viski,
1864,viskiler,viski,ler
1865,viskide,viski,de
1866,viskiden,viski,den
1867,viskim,viski,m
1868,viskimde,viski,m de
1869,viskilerim,viski,ler im
1870,viskilerimde,viski,ler im de
1871,vodka,vodka,
1872,vodkalar,vodka,lar
1873,vodkada,vodka,da
1874,vodkadan,vodka,dan
1875,vodkam,vodka,m
1876,vodkamda,vodka,m da
1877,vodkalarım,vodka,lar ım
1878,vodkalarımda,vodka,lar ım da
1879,cin,cin,
1880,cinler,cin,ler
1881,cinde,cin,de
1882,cinden,cin,den
1883,cinim,cin,im
1884,cinimde,cin,im de
1885,cinlerim,cin,ler im
1886,cinlerimde,cin,ler im de
1887,rom,rom,
1888,romlar,rom,lar
1889,romda,rom,da
1890,romdan,rom,dan
1891,romum,rom,um
1892,romumda,rom,um da
1893,romlarım,rom,lar ım
1894,romlarımda,rom,lar ım da
1895,tequila,tequila,
1896,tequilalar,tequila,lar
1897,tequilada,tequila,da
1898,tequiladan,tequila,dan
1899,tequilam,tequila,m
1900,tequilamda,tequila,m da
1901,tequilalarım,tequila,lar ım
1902,tequilalarımda,tequila,lar ım da
1903,kakao,kakao,
1904,kakaolar,kakao,lar
1905,kakaoda,kakao,da
1906,kakaodan,kakao,dan
1907,kakaom,kakao,m
1908,kakaomda,kakao,m da
1909,kakaolarım,kakao,lar ım
1910,kakaolarımda,kakao,lar ım da
1911,çikolata,çikolata,
1912,çikolatalar,çikolata,lar
1913,çikolatada,çikolata,da
1914,çikolatadan,çikolata,dan
1915,çikolatam,çikolata,m
1916,çikolatamda,çikolata,m da
1917,çikolatalarım,çikolata,lar ım
1918,çikolatalarımda,çikolata,lar ım da
1919,şeker,şeker,
1920,şekerler,şeker,ler
1921,şekerde,şeker,de
1922,şekerden,şeker,den
1923,şekerim,şeker,im
1924,şekerimde,şeker,im de
1925,şekerlerim,şeker,ler im
1926,şekerlerimde,şeker,ler im de
1927,tuz,tuz,
1928,tuzlar,tuz,lar
1929,tuzda,tuz,da
1930,tuzdan,tuz,dan
1931,tuzum,tuz,um
1932,tuzumda,tuz,um da
1933,tuzlarım,tuz,lar ım
1934,tuzlarımda,tuz,lar ım da
1935,biber,biber,
1936,biberler,biber,ler
1937,biberde,biber,de
1938,biberden,biber,den
1939,biberim,biber,im
1940,biberimde,biber,im de
1941,biberlerim,biber,ler im
1942,biberlerimde,biber,ler im de
1943,baharat,baharat,
1944,baharatlar,baharat,lar
1945,baharatta,baharat,ta
1946,baharattan,baharat,tan
1947,baharatım,baharat,ım
1948,baharatımda,baharat,ım da
1949,baharatlarım,baharat,lar ım
1950,baharatlarımda,baharat,lar ım da
1951,tarçın,tarçın,
1952,tarçınlar,tarçın,lar
1953,tarçında,tarçın,da
1954,tarçından,tarçın,dan
1955,tarçınım,tarçın,ım
1956,tarçınımda,tarçın,ım da
1957,tarçınlarım,tarçın,lar ım
1958,tarçınlarımda,tarçın,lar ım da
1959,karanfil,karanfil,
1960,karanfiller,karanfil,ler
1961,karanfilde,karanfil,de
1962,karanfilden,karanfil,den
1963,karanfilim,karanfil,im
1964,karanfilimde,karanfil,im de
1965,karanfillerim,karanfil,ler im
1966,karanfillerimde,karanfil,ler im de
1967,zencefil,zencefil,
1968,zencefiller,zencefil,ler
1969,zencefilde,zencefil,de
1970,zencefilden,zencefil,den
1971,zencefilim,zencefil,im
1972,zencefilimde,zencefil,im de
1973,zencefillerim,zencefil,ler im
1974,zencefillerimde,zencefil,ler im de
1975,safran,safran,
1976,safranlar,safran,lar
1977,safranda,safran,da
1978,safrandan,safran,dan
1979,safranım,safran,ım
1980,safranımda,safran,ım da
1981,safranlarım,safran,lar ım
1982,safranlarımda,safran,lar ım da
1983,vanilya,vanilya,
1984,vanilyalar,vanilya,lar
1985,vanilyada,vanilya,da
1986,vanilyadan,vanilya,dan
1987,vanilyam,vanilya,m
1988,vanilyamda,vanilya,m da
1989,vanilyalarım,vanilya,lar ım
1990,vanilyalarımda,vanilya,lar ım da
1991,kekik,kekik,
1992,kekikler,kekik,ler
1993,kekikte,kekik,te
1994,kekikten,kekik,ten
1995,kekiğim,kekik,im
1996,kekiğimde,kekik,im de
1997,kekiklerim,kekik,ler im
1998,kekiklerimde,kekik,ler im de
1999,nane,nane,
2000,naneler,nane,ler
2001,nanede,nane,de
2002,naneden,nane,den
2003,nanem,nane,m
2004,nanemde,nane,m de
2005,nanelerim,nane,ler im
2006,nanelerimde,nane,ler im de
2007,fesleğen,fesleğen,
2008,fesleğenler,fesleğen,ler
2009,fesleğende,fesleğen,de
2010,fesleğenden,fesleğen,den
2011,fesleğenim,fesleğen,im
2012,fesleğenimde,fesleğen,im de
2013,fesleğenlerim,fesleğen,ler im
2014,fesleğenlerimde,fesleğen,ler im de
2015,maydanoz,maydanoz,
2016,maydanozlar,maydanoz,lar
2017,maydanozda,maydanoz,da
2018,maydanozdan,maydanoz,dan
2019,maydanozum,maydanoz,um
2020,maydanozumda,maydanoz,um da
2021,maydanozlarım,maydanoz,lar ım
2022,maydanozlarımda,maydanoz,lar ım da
2023,dereotu,dereotu,
2024,dereotları,dereotu,ları
2025,dereotunda,dereotu,nda
2026,dereotundan,dereotu,ndan
2027,dereotum,dereotu,m
2028,dereotumda,dereotu,m da
2029,dereotlarım,dereotu,lar ım
2030,dereotlarımda,dereotu,lar ım da
2031,roka,roka,
2032,rokalar,roka,lar
2033,rokada,roka,da
2034,rokadan,roka,dan
2035,rokam,roka,m
2036,rokamda,roka,m da
2037,rokalarım,roka,lar ım
2038,rokalarımda,roka,lar ım da
2039,marul,marul,
2040,marullar,marul,lar
2041,marulda,marul,da
2042,maruldan,marul,dan
2043,marulum,marul,um
2044,marulumda,marul,um da
2045,marullarım,marul,lar ım
2046,marullarımda,marul,lar ım da
2047,ıspanak,ıspanak,
2048,ıspanaklar,ıspanak,lar
2049,ıspanakta,ıspanak,ta
2050,ıspanaktan,ıspanak,tan
2051,ıspanağım,ıspanak,ım
2052,ıspanağımda,ıspanak,ım da
2053,ıspanaklarım,ıspanak,lar ım
2054,ıspanaklarımda,ıspanak,lar ım da
2055,lahana,lahana,
2056,lahanalar,lahana,lar
2057,lahanada,lahana,da
2058,lahanadan,lahana,dan
2059,lahanam,lahana,m
2060,lahanamda,lahana,m da
2061,lahanalarım,lahana,lar ım
2062,lahanalarımda,lahana,lar ım da
2063,karnabahar,karnabahar,
2064,karnabaharlar,karnabahar,lar
2065,karnabaharda,karnabahar,da
2066,karnabahardan,karnabahar,dan
2067,karnabaharım,karnabahar,ım
2068,karnabaharımda,karnabahar,ım da
2069,karnabaharlarım,karnabahar,lar ım
2070,karnabaharlarımda,karnabahar,lar ım da
2071,brokoli,brokoli,
2072,brokoliler,brokoli,ler
2073,brokolide,brokoli,de
2074,brokoliden,brokoli,den
2075,brokolim,brokoli,m
2076,brokolimde,brokoli,m de
2077,brokolilerim,brokoli,ler im
2078,brokolilerimde,brokoli,ler im de
2079,patlıcan,patlıcan,
2080,patlıcanlar,patlıcan,lar
2081,patlıcanda,patlıcan,da
2082,patlıcandan,patlıcan,dan
2083,patlıcanım,patlıcan,ım
2084,patlıcanımda,patlıcan,ım da
2085,patlıcanlarım,patlıcan,lar ım
2086,patlıcanlarımda,patlıcan,lar ım da
2087,kabak,kabak,
2088,kabaklar,kabak,lar
2089,kabakta,kabak,ta
2090,kabaktan,kabak,tan
2091,kabağım,kabak,ım
2092,kabağımda,kabak,ım da
2093,kabaklarım,kabak,lar ım
2094,kabaklarımda,kabak,lar ım da
2095,balkabağı,balkabağı,
2096,balkabakları,balkabağı,ları
2097,balkabağında,balkabağı,nda
2098,balkabağından,balkabağı,ndan
2099,balkabağım,balkabağı,m
2100,balkabağımda,balkabağı,m da
2101,balkabaklarım,balkabağı,lar ım
2102,balkabaklarımda,balkabağı,lar ım da
2103,mandalina,mandalina,
2104,mandalinalar,mandalina,lar
2105,mandalinada,mandalina,da
2106,mandalinadan,mandalina,dan
2107,mandalinam,mandalina,m
2108,mandalinamda,mandalina,m da
2109,mandalinalarım,mandalina,lar ım
2110,mandalinalarımda,mandalina,lar ım da
2111,greyfurt,greyfurt,
2112,greyfurtlar,greyfurt,lar
2113,greyfurtda,greyfurt,da
2114,greyfurtdan,greyfurt,dan
2115,greyfurtum,greyfurt,um
2116,greyfurtumda,greyfurt,um da
2117,greyfurtlarım,greyfurt,lar ım
2118,greyfurtlarımda,greyfurt,lar ım da
2119,kiraz,kiraz,
2120,kirazlar,kiraz,lar
2121,kirazda,kiraz,da
2122,kirazdan,kiraz,dan
2123,kirazım,kiraz,ım
2124,kirazımda,kiraz,ım da
2125,kirazlarım,kiraz,lar ım
2126,kirazlarımda,kiraz,lar ım da
2127,vişne,vişne,
2128,vişneler,vişne,ler
2129,vişnede,vişne,de
2130,vişneden,vişne,den
2131,vişnem,vişne,m
2132,vişnemde,vişne,m de
2133,vişnelerim,vişne,ler im
2134,vişnelerimde,vişne,ler im de
2135,şeftali,şeftali,
2136,şeftaliler,şeftali,ler
2137,şeftalide,şeftali,de
2138,şeftaliden,şeftali,den
2139,şeftalim,şeftali,m
2140,şeftalimde,şeftali,m de
2141,şeftalilerim,şeftali,ler im
2142,şeftalilerimde,şeftali,ler im de
2143,kayısı,kayısı,
2144,kayısılar,kayısı,lar
2145,kayısıda,kayısı,da
2146,kayısıdan,kayısı,dan
2147,kayısım,kayısı,m
2148,kayısımda,kayısı,m da
2149,kayısılarım,kayısı,lar ım
2150,kayısılarımda,kayısı,lar ım da
2151,incir,incir,
2152,incirler,incir,ler
2153,incirde,incir,de
2154,incirden,incir,den
2155,incirim,incir,im
2156,incirimde,incir,im de
2157,incirlerim,incir,ler im
2158,incirlerimde,incir,ler im de
2159,ayva,ayva,
2160,ayvalar,ayva,lar
2161,ayvada,ayva,da
2162,ayvadan,ayva,dan
2163,ayvam,ayva,m
2164,ayvamda,ayva,m da
2165,ayvalarım,ayva,lar ım
2166,ayvalarımda,ayva,lar ım da
2167,badem,badem,
2168,bademler,badem,ler
2169,bademde,badem,de
2170,bademden,badem,den
2171,bademim,badem,im
2172,bademimde,badem,im de
2173,bademlerim,badem,ler im
2174,bademlerimde,badem,ler im de
2175,ceviz,ceviz,
2176,cevizler,ceviz,ler
2177,cevizde,ceviz,de
2178,cevizden,ceviz,den
2179,cevizim,ceviz,im
2180,cevizimde,ceviz,im de
2181,cevizlerim,ceviz,ler im
2182,cevizlerimde,ceviz,ler im de
2183,fındık,fındık,
2184,fındıklar,fındık,lar
2185,fındıkta,fındık,ta
2186,fındıktan,fındık,tan
2187,fındığım,fındık,ım
2188,fındığımda,fındık,ım da
2189,fındıklarım,fındık,lar ım
2190,fındıklarımda,fındık,lar ım da
2191,fıstık,fıstık,
2192,fıstıklar,fıstık,lar
2193,fıstıkta,fıstık,ta
2194,fıstıktan,fıstık,tan
2195,fıstığım,fıstık,ım
2196,fıstığımda,fıstık,ım da
2197,fıstıklarım,fıstık,lar ım
2198,fıstıklarımda,fıstık,lar ım da
2199,kaju,kaju,
2200,kajular,kaju,lar
2201,kajuda,kaju,da
2202,kajudan,kaju,dan
2203,kajum,kaju,um
2204,kajumda,kaju,um da
2205,kajularım,kaju,lar ım
2206,kajularımda,kaju,lar ım da
2207,antep fıstığı,antep fıstığı,
2208,antep fıstıkları,antep fıstığı,ları
2209,antep fıstığında,antep fıstığı,nda
2210,antep fıstığından,antep fıstığı,ndan
2211,antep fıstığım,antep fıstığı,m
2212,antep fıstığımda,antep fıstığı,m da
2213,antep fıstıklarım,antep fıstığı,lar ım
2214,antep fıstıklarımda,antep fıstığı,lar ım da
2215,çam fıstığı,çam fıstığı,
2216,çam fıstıkları,çam fıstığı,ları
2217,çam fıstığında,çam fıstığı,nda
2218,çam fıstığından,çam fıstığı,ndan
2219,çam fıstığım,çam fıstığı,m
2220,çam fıstığımda,çam fıstığı,m da
2221,çam fıstıklarım,çam fıstığı,lar ım
2222,çam fıstıklarımda,çam fıstığı,lar ım da
2223,kestane,kestane,
2224,kestaneler,kestane,ler
2225,kestanede,kestane,de
2226,kestaneden,kestane,den
2227,kestanem,kestane,m
2228,kestanemde,kestane,m de
2229,kestanelerim,kestane,ler im
2230,kestanelerimde,kestane,ler im de
2231,hurma,hurma,
2232,hurmular,hurma,lar
2233,hurmada,hurma,da
2234,hurmadan,hurma,dan
2235,hurmam,hurma,m
2236,hurmamda,hurma,m da
2237,hurmularım,hurma,lar ım
2238,hurmularımda,hurma,lar ım da
2239,geliyorum,gel,iyor um
2240,geliyorsun,gel,iyor sun
2241,geliyor,gel,iyor
2242,geliyoruz,gel,iyor uz
2243,geliyorsunuz,gel,iyor sunuz
2244,geliyorlar,gel,iyor lar
2245,geleceğim,gel,ecek im
2246,geleceksin,gel,ecek sin
2247,gelecek,gel,ecek
2248,geleceğiz,gel,ecek iz
2249,gidiyorum,git,iyor um
2250,gidiyorsun,git,iyor sun
2251,gidiyor,git,iyor
2252,gidiyoruz,git,iyor uz
2253,gidiyorsunuz,git,iyor sunuz
2254,gidiyorlar,git,iyor lar
2255,gideceğim,git,ecek im
2256,gideceksin,git,ecek sin
2257,gidecek,git,ecek
2258,gideceğiz,git,ecek iz
2259,okuyorum,oku,yor um
2260,okuyorsun,oku,yor sun
2261,okuyor,oku,yor
2262,okuyoruz,oku,yor uz
2263,okuyorsunuz,oku,yor sunuz
2264,okuyorlar,oku,yor lar
2265,okuyacağım,oku,yacak ım
2266,okuyacaksın,oku,yacak sın
2267,okuyacak,oku,yacak
2268,okuyacağız,oku,yacak ız
2269,yazıyorum,yaz,ıyor um
2270,yazıyorsun,yaz,ıyor sun
2271,yazıyor,yaz,ıyor
2272,yazıyoruz,yaz,ıyor uz
2273,yazıyorsunuz,yaz,ıyor sunuz
2274,yazıyorlar,yaz,ıyor lar
2275,yazacağım,yaz,acak ım
2276,yazacaksın,yaz,acak sın
2277,yazacak,yaz,acak
2278,yazacağız,yaz,acak ız
2279,çiziyorum,çiz,iyor um
2280,çiziyorsun,çiz,iyor sun
2281,çiziyor,çiz,iyor
2282,çiziyoruz,çiz,iyor uz
2283,çiziyorsunuz,çiz,iyor sunuz
2284,çiziyorlar,çiz,iyor lar
2285,çizeceğim,çiz,ecek im
2286,çizeceksin,çiz,ecek sin
2287,çizecek,çiz,ecek
2288,çizeceğiz,çiz,ecek iz
2289,boyuyorum,boya,yor um
2290,boyuyorsun,boya,yor sun
2291,boyuyor,boya,yor
2292,boyuyoruz,boya,yor uz
2293,boyuyorsunuz,boya,yor sunuz
2294,boyuyorlar,boya,yor lar
2295,boyayacağım,boya,yacak ım
2296,boyayacaksın,boya,yacak sın
2297,boyayacak,boya,yacak
2298,boyayacağız,boya,yacak ız
2299,yapıyorum,yap,ıyor um
2300,yapıyorsun,yap,ıyor sun
2301,yapıyor,yap,ıyor
2302,yapıyoruz,yap,ıyor uz
2303,yapıyorsunuz,yap,ıyor sunuz
2304,yapıyorlar,yap,ıyor lar
2305,yapacağım,yap,acak ım
2306,yapacaksın,yap,acak sın
2307,yapacak,yap,acak
2308,yapacağız,yap,acak ız
2309,ediyorum,et,iyor um
2310,ediyorsun,et,iyor sun
2311,ediyor,et,iyor
2312,ediyoruz,et,iyor uz
2313,ediyorsunuz,et,iyor sunuz
2314,ediyorlar,et,iyor lar
2315,edeceğim,et,ecek im
2316,edeceksin,et,ecek sin
2317,edecek,et,ecek
2318,edeceğiz,et,ecek iz
2319,alıyorum,al,ıyor um
2320,alıyorsun,al,ıyor sun
2321,alıyor,al,ıyor
2322,alıyoruz,al,ıyor uz
2323,alıyorsunuz,al,ıyor sunuz
2324,alıyorlar,al,ıyor lar
2325,alacağım,al,acak ım
2326,alacaksın,al,acak sın
2327,alacak,al,acak
2328,alacağız,al,acak ız
2329,veriyorum,ver,iyor um
2330,veriyorsun,ver,iyor sun
2331,veriyor,ver,iyor
2332,veriyoruz,ver,iyor uz
2333,veriyorsunuz,ver,iyor sunuz
2334,veriyorlar,ver,iyor lar
2335,vereceğim,ver,ecek im
2336,vereceksin,ver,ecek sin
2337,verecek,ver,ecek
2338,vereceğiz,ver,ecek iz
2339,satıyorum,sat,ıyor um
2340,satıyorsun,sat,ıyor sun
2341,satıyor,sat,ıyor
2342,satıyoruz,sat,ıyor uz
2343,satıyorsunuz,sat,ıyor sunuz
2344,satıyorlar,sat,ıyor lar
2345,satacağım,sat,acak ım
2346,satacaksın,sat,acak sın
2347,satacak,sat,acak
2348,satacağız,sat,acak ız
2349,kalkıyorum,kalk,ıyor um
2350,kalkıyorsun,kalk,ıyor sun
2351,kalkıyor,kalk,ıyor
2352,kalkıyoruz,kalk,ıyor uz
2353,kalkıyorsunuz,kalk,ıyor sunuz
2354,kalkıyorlar,kalk,ıyor lar
2355,kalkacağım,kalk,acak ım
2356,kalkacaksın,kalk,acak sın
2357,kalkacak,kalk,acak
2358,kalkacağız,kalk,acak ız
2359,düşüyorum,düş,üyor um
2360,düşüyorsun,düş,üyor sun
2361,düşüyor,düş,üyor
2362,düşüyoruz,düş,üyor uz
2363,düşüyorsunuz,düş,üyor sunuz
2364,düşüyorlar,düş,üyor lar
2365,düşeceğim,düş,ecek im
2366,düşeceksin,düş,ecek sin
2367,düşecek,düş,ecek
2368,düşeceğiz,düş,ecek iz
2369,koşuyorum,koş,uyor um
2370,koşuyorsun,koş,uyor sun
2371,koşuyor,koş,uyor
2372,koşuyoruz,koş,uyor uz
2373,koşuyorsunuz,koş,uyor sunuz
2374,koşuyorlar,koş,uyor lar
2375,koşacağım,koş,acak ım
2376,koşacaksın,koş,acak sın
2377,koşacak,koş,acak
2378,koşacağız,koş,acak ız
2379,yürüyorum,yürü,yor um
2380,yürüyorsun,yürü,yor sun
2381,yürüyor,yürü,yor
2382,yürüyoruz,yürü,yor uz
2383,yürüyorsunuz,yürü,yor sunuz
2384,yürüyorlar,yürü,yor lar
2385,yürüyeceğim,yürü,yecek im
2386,yürüyeceksin,yürü,yecek sin
2387,yürüyecek,yürü,yecek
2388,yürüyeceğiz,yürü,yecek iz
2389,görüyorum,gör,üyor um
2390,görüyorsun,gör,üyor sun
2391,görüyor,gör,üyor
2392,görüyoruz,gör,üyor uz
2393,görüyorsunuz,gör,üyor sunuz
2394,görüyorlar,gör,üyor lar
2395,göreceğim,gör,ecek im
2396,göreceksin,gör,ecek sin
2397,görecek,gör,ecek
2398,göreceğiz,gör,ecek iz
2399,bakıyorum,bak,ıyor um
2400,bakıyorsun,bak,ıyor sun
2401,bakıyor,bak,ıyor
2402,bakıyoruz,bak,ıyor uz
2403,bakıyorsunuz,bak,ıyor sunuz
2404,bakıyorlar,bak,ıyor lar
2405,bakacağım,bak,acak ım
2406,bakacaksın,bak,acak sın
2407,bakacak,bak,acak
2408,bakacağız,bak,acak ız
2409,izliyorum,izle,iyor um
2410,izliyorsun,izle,iyor sun
2411,izliyor,izle,iyor
2412,izliyoruz,izle,iyor uz
2413,izliyorsunuz,izle,iyor sunuz
2414,izliyorlar,izle,iyor lar
2415,izleyeceğim,izle,yecek im
2416,izleyeceksin,izle,yecek sin
2417,izleyecek,izle,yecek
2418,izleyeceğiz,izle,yecek iz
2419,dinliyorum,dinle,iyor um
2420,dinliyorsun,dinle,iyor sun
2421,dinliyor,dinle,iyor
2422,dinliyoruz,dinle,iyor uz
2423,dinliyorsunuz,dinle,iyor sunuz
2424,dinliyorlar,dinle,iyor lar
2425,dinleyeceğim,dinle,yecek im
2426,dinleyeceksin,dinle,yecek sin
2427,dinleyecek,dinle,yecek
2428,dinleyeceğiz,dinle,yecek iz
2429,soruyorum,sor,uyor um
2430,soruyorsun,sor,uyor sun
2431,soruyor,sor,uyor
2432,soruyoruz,sor,uyor uz
2433,soruyorsunuz,sor,uyor sunuz
2434,soruyorlar,sor,uyor lar
2435,soracağım,sor,acak ım
2436,soracaksın,sor,acak sın
2437,soracak,sor,acak
2438,soracağız,sor,acak ız
2439,cevaplıyorum,cevapla,ıyor um
2440,cevaplıyorsun,cevapla,ıyor sun
2441,cevaplıyor,cevapla,ıyor
2442,cevaplıyoruz,cevapla,ıyor uz
2443,cevaplıyorsunuz,cevapla,ıyor sunuz
2444,cevaplıyorlar,cevapla,ıyor lar
2445,cevaplayacağım,cevapla,yacak ım
2446,cevaplayacaksın,cevapla,yacak sın
2447,cevaplayacak,cevapla,yacak
2448,cevaplayacağız,cevapla,yacak ız
2449,buluyorum,bul,uyor um
2450,buluyorsun,bul,uyor sun
2451,buluyor,bul,uyor
2452,buluyoruz,bul,uyor uz
2453,buluyorsunuz,bul,uyor sunuz
2454,buluyorlar,bul,uyor lar
2455,bulacağım,bul,acak ım
2456,bulacaksın,bul,acak sın
2457,bulacak,bul,acak
2458,bulacağız,bul,acak ız
2459,kaybediyorum,kaybet,iyor um
2460,kaybediyorsun,kaybet,iyor sun
2461,kaybediyor,kaybet,iyor
2462,kaybediyoruz,kaybet,iyor uz
2463,kaybediyorsunuz,kaybet,iyor sunuz
2464,kaybediyorlar,kaybet,iyor lar
2465,kaybedeceğim,kaybet,ecek im
2466,kaybedeceksin,kaybet,ecek sin
2467,kaybedecek,kaybet,ecek
2468,kaybedeceğiz,kaybet,ecek iz
2469,kazanıyorum,kazan,ıyor um
2470,kazanıyorsun,kazan,ıyor sun
2471,kazanıyor,kazan,ıyor
2472,kazanıyoruz,kazan,ıyor uz
2473,kazanıyorsunuz,kazan,ıyor sunuz
2474,kazanıyorlar,kazan,ıyor lar
2475,kazanacağım,kazan,acak ım
2476,kazanacaksın,kazan,acak sın
2477,kazanacak,kazan,acak
2478,kazanacağız,kazan,acak ız
2479,başlıyorum,başla,ıyor um
2480,başlıyorsun,başla,ıyor sun
2481,başlıyor,başla,ıyor
2482,başlıyoruz,başla,ıyor uz
2483,başlıyorsunuz,başla,ıyor sunuz
2484,başlıyorlar,başla,ıyor lar
2485,başlayacağım,başla,yacak ım
2486,başlayacaksın,başla,yacak sın
2487,başlayacak,başla,yacak
2488,başlayacağız,başla,yacak ız
2489,bitiriyorum,bitir,iyor um
2490,bitiriyorsun,bitir,iyor sun
2491,bitiriyor,bitir,iyor
2492,bitiriyoruz,bitir,iyor uz
2493,bitiriyorsunuz,bitir,iyor sunuz
2494,bitiriyorlar,bitir,iyor lar
2495,bitireceğim,bitir,ecek im
2496,bitireceksin,bitir,ecek sin
2497,bitirecek,bitir,ecek
2498,bitireceğiz,bitir,ecek iz
2499,bekliyorum,bekle,iyor um
2500,bekliyorsun,bekle,iyor sun
2501,bekliyor,bekle,iyor
2502,bekliyoruz,bekle,iyor uz
2503,bekliyorsunuz,bekle,iyor sunuz
2504,bekliyorlar,bekle,iyor lar
2505,bekleyeceğim,bekle,yecek im
2506,bekleyeceksin,bekle,yecek sin
2507,bekleyecek,bekle,yecek
2508,bekleyeceğiz,bekle,yecek iz
2509,seçiyorum,seç,iyor um
2510,seçiyorsun,seç,iyor sun
2511,seçiyor,seç,iyor
2512,seçiyoruz,seç,iyor uz
2513,seçiyorsunuz,seç,iyor sunuz
2514,seçiyorlar,seç,iyor lar
2515,seçeceğim,seç,ecek im
2516,seçeceksin,seç,ecek sin
2517,seçecek,seç,ecek
2518,seçeceğiz,seç,ecek iz
2519,dönüyorum,dön,üyor um
2520,dönüyorsun,dön,üyor sun
2521,dönüyor,dön,üyor
2522,dönüyoruz,dön,üyor uz
2523,dönüyorsunuz,dön,üyor sunuz
2524,dönüyorlar,dön,üyor lar
2525,döneceğim,dön,ecek im
2526,döneceksin,dön,ecek sin
2527,dönecek,dön,ecek
2528,döneceğiz,dön,ecek iz
2529,taşıyorum,taşı,yor um
2530,taşıyorsun,taşı,yor sun
2531,taşıyor,taşı,yor
2532,taşıyorsunuz,taşı,yor sunuz
2533,taşıyorlar,taşı,yor lar
2534,taşıyacağım,taşı,yacak ım
2535,taşıyacaksın,taşı,yacak sın
2536,taşıyacak,taşı,yacak
2537,taşıyacağız,taşı,yacak ız
2538,kırıyorum,kır,ıyor um
2539,kırıyorsun,kır,ıyor sun
2540,kırıyor,kır,ıyor
2541,kırıyoruz,kır,ıyor uz
2542,kırıyorsunuz,kır,ıyor sunuz
2543,kırıyorlar,kır,ıyor lar
2544,kıracağım,kır,acak ım
2545,kıracaksın,kır,acak sın
2546,kıracak,kır,acak
2547,kıracağız,kır,acak ız
2548,tamir ediyorum,tamir et,iyor um
2549,tamir ediyorsun,tamir et,iyor sun
2550,tamir ediyor,tamir et,iyor
2551,tamir ediyoruz,tamir et,iyor uz
2552,tamir ediyorsunuz,tamir et,iyor sunuz
2553,tamir ediyorlar,tamir et,iyor lar
2554,tamir edeceğim,tamir et,ecek im
2555,tamir edeceksin,tamir et,ecek sin
2556,tamir edecek,tamir et,ecek
2557,tamir edeceğiz,tamir et,ecek iz
2558,pişiriyorum,pişir,iyor um
2559,pişiriyorsun,pişir,iyor sun
2560,pişiriyor,pişir,iyor
2561,pişiriyoruz,pişir,iyor uz
2562,pişiriyorsunuz,pişir,iyor sunuz
2563,pişiriyorlar,pişir,iyor lar
2564,pişireceğim,pişir,ecek im
2565,pişireceksin,pişir,ecek sin
2566,pişirecek,pişir,ecek
2567,pişireceğiz,pişir,ecek iz
2568,kesiyorum,kes,iyor um
2569,kesiyorsun,kes,iyor sun
2570,kesiyor,kes,iyor
2571,kesiyoruz,kes,iyor uz
2572,kesiyorsunuz,kes,iyor sunuz
2573,kesiyorlar,kes,iyor lar
2574,keseceğim,kes,ecek im
2575,keseceksin,kes,ecek sin
2576,kesecek,kes,ecek
2577,keseceğiz,kes,ecek iz
2578,karıştırıyorum,karıştır,ıyor um
2579,karıştırıyorsun,karıştır,ıyor sun
2580,karıştırıyor,karıştır,ıyor
2581,karıştırıyoruz,karıştır,ıyor uz
2582,karıştırıyorsunuz,karıştır,ıyor sunuz
2583,karıştırıyorlar,karıştır,ıyor lar
2584,karıştıracağım,karıştır,acak ım
2585,karıştıracaksın,karıştır,acak sın
2586,karıştıracak,karıştır,acak
2587,karıştıracağız,karıştır,acak ız
2588,temizliyorum,temizle,iyor um
2589,temizliyorsun,temizle,iyor sun
2590,temizliyor,temizle,iyor
2591,temizliyoruz,temizle,iyor uz
2592,temizliyorsunuz,temizle,iyor sunuz
